H,I,S,D,M,date,country
0,0,0,27,372,2021-07-02,Afghanistan
0,0,0,7,96,2021-07-02,Sweden
0,0,1,146,1097,2021-07-02,Japan
0,0,0,27,372,2021-07-03,Afghanistan
0,0,0,7,96,2021-07-03,Sweden
0,0,1,146,1097,2021-07-03,Japan
0,0,0,27,372,2021-07-04,Afghanistan
0,0,0,7,96,2021-07-04,Sweden
0,0,1,146,1097,2021-07-04,Japan
0,0,0,27,372,2021-07-05,Afghanistan
0,0,0,7,96,2021-07-05,Sweden
0,0,1,146,1097,2021-07-05,Japan
0,0,0,27,372,2021-07-06,Afghanistan
0,0,0,7,96,2021-07-06,Sweden
0,0,1,146,1097,2021-07-06,Japan
0,0,0,27,372,2021-07-07,Afghanistan
0,0,0,7,96,2021-07-07,Sweden
0,0,1,146,1097,2021-07-07,Japan
0,0,0,27,372,2021-07-08,Afghanistan
0,0,0,7,96,2021-07-08,Sweden
0,0,1,146,1097,2021-07-08,Japan
0,0,0,27,372,2021-07-09,Afghanistan
0,0,0,7,96,2021-07-09,Sweden
0,0,1,146,1097,2021-07-09,Japan
0,0,0,27,372,2021-07-10,Afghanistan
0,0,0,7,96,2021-07-10,Sweden
0,0,1,146,1097,2021-07-10,Japan
0,0,0,27,372,2021-07-11,Afghanistan
0,0,0,7,96,2021-07-11,Sweden
0,0,1,146,1097,2021-07-11,Japan
0,0,0,27,372,2021-07-12,Afghanistan
0,0,0,7,96,2021-07-12,Sweden
0,0,0,146,1098,2021-07-12,Japan
0,0,0,27,372,2021-07-13,Afghanistan
0,0,0,7,96,2021-07-13,Sweden
0,0,0,146,1098,2021-07-13,Japan
0,0,0,27,372,2021-07-14,Afghanistan
0,0,0,7,96,2021-07-14,Sweden
0,0,0,146,1098,2021-07-14,Japan
0,0,0,27,372,2021-07-15,Afghanistan
0,0,0,7,96,2021-07-15,Sweden
0,0,0,146,1098,2021-07-15,Japan
0,0,0,27,372,2021-07-16,Afghanistan
0,0,0,7,96,2021-07-16,Sweden
0,0,0,146,1098,2021-07-16,Japan
0,0,0,27,372,2021-07-17,Afghanistan
0,0,0,7,96,2021-07-17,Sweden
0,0,0,146,1098,2021-07-17,Japan
0,0,0,27,372,2021-07-18,Afghanistan
0,0,0,7,96,2021-07-18,Sweden
0,0,0,146,1098,2021-07-18,Japan
0,0,0,27,372,2021-07-19,Afghanistan
0,0,0,7,96,2021-07-19,Sweden
0,0,0,146,1098,2021-07-19,Japan
0,0,0,27,372,2021-07-20,Afghanistan
0,0,0,7,96,2021-07-20,Sweden
0,0,0,146,1098,2021-07-20,Japan
0,0,0,27,372,2021-07-21,Afghanistan
0,0,0,7,96,2021-07-21,Sweden
0,0,0,146,1098,2021-07-21,Japan
0,0,0,27,372,2021-07-22,Afghanistan
0,0,0,7,96,2021-07-22,Sweden
0,0,0,146,1098,2021-07-22,Japan
0,0,0,27,372,2021-07-23,Afghanistan
0,0,0,7,96,2021-07-23,Sweden
0,0,0,146,1098,2021-07-23,Japan
0,0,0,27,372,2021-07-24,Afghanistan
0,0,0,7,96,2021-07-24,Sweden
0,0,0,146,1098,2021-07-24,Japan
0,0,0,27,372,2021-07-25,Afghanistan
0,0,0,7,96,2021-07-25,Sweden
0,0,0,146,1098,2021-07-25,Japan
0,0,0,27,372,2021-07-26,Afghanistan
0,0,0,7,96,2021-07-26,Sweden
0,0,0,146,1098,2021-07-26,Japan
0,0,0,27,372,2021-07-27,Afghanistan
0,0,0,7,96,2021-07-27,Sweden
0,0,0,146,1098,2021-07-27,Japan
0,0,0,27,372,2021-07-28,Afghanistan
0,0,0,7,96,2021-07-28,Sweden
